"gene","spearman_rho","p"
"VANGL2",-0.305760846595826,8.84320715060031e-08
"MID2",-0.305944422079585,8.67981616294106e-08
"ZBTB38",-0.305971338613539,8.65610495935754e-08
"CORO2B",-0.306178170927074,8.47597334142815e-08
"TUG1",-0.306226809576147,8.43414102128722e-08
"FMO9P",-0.306403419816472,8.28391077635064e-08
"GALNT3",-0.306427503031061,8.26362564275417e-08
"CARD14",-0.306488419397376,8.21252954985555e-08
"RAET1E",-0.306600335512235,8.11944747552975e-08
"BNIPL",-0.306686279532927,8.04865749410608e-08
"RP1L1",-0.306743418140091,8.00192327947282e-08
"REV1",-0.306805278946194,7.95162147533872e-08
"GON4L",-0.306845889857071,7.91876470385533e-08
"MTSS1",-0.306886028548054,7.88641853436883e-08
"FMN1",-0.30697244478864,7.81721060326611e-08
"ITGA2",-0.307387053855498,7.49322134914048e-08
"BTAF1",-0.307574525153383,7.35100945018085e-08
"SOS1",-0.307628004056369,7.31092053242744e-08
"FMO4",-0.307707691163467,7.25157595315475e-08
"ERMAP",-0.30773696879689,7.22988913217172e-08
"ANKRD12",-0.308014161874619,7.02763697382321e-08
"FAM131B",-0.308019356293452,7.02389944164332e-08
"MBNL2",-0.308074133801146,6.9846018905811e-08
"CARD6",-0.308270577277015,6.84540764361792e-08
"SYNJ1",-0.308527464899305,6.66741319064106e-08
"HTR7P1",-0.308724380595068,6.53400110675007e-08
"PROM2",-0.308736186092416,6.52608506498684e-08
"AAK1",-0.308898039461055,6.41848378755749e-08
"NPY4R",-0.308954469738378,6.38137212073752e-08
"UBR2",-0.309229655881558,6.20333808748362e-08
