lib,term,p,padj,n_overlap,genes
GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex III Assembly (GO:0034551),0.05470419842989522,0.227880047718109,1,UQCC5
GO_Biological_Process_2023,Polyamine Metabolic Process (GO:0006595),0.05470419842989522,0.227880047718109,1,DHPS
GO_Biological_Process_2023,Regulation Of Type II Interferon-Mediated Signaling Pathway (GO:0060334),0.05470419842989522,0.227880047718109,1,CDC37
GO_Biological_Process_2023,Cellular Response To Superoxide (GO:0071451),0.05470419842989522,0.227880047718109,1,PRDX2
GO_Biological_Process_2023,Respiratory Chain Complex III Assembly (GO:0017062),0.05470419842989522,0.227880047718109,1,UQCC5
GO_Biological_Process_2023,Regulation Of Actin Filament Depolymerization (GO:0030834),0.05470419842989522,0.227880047718109,1,PDXP
GO_Biological_Process_2023,sno(s)RNA 3'-End Processing (GO:0031126),0.05470419842989522,0.227880047718109,1,EXOSC4
GO_Biological_Process_2023,Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512),0.058878630010240844,0.227880047718109,2,PIN1;STUB1
GO_Biological_Process_2023,Positive Regulation Of Response To Stimulus (GO:0048584),0.058878630010240844,0.227880047718109,2,BABAM1;TMEM161A
GO_Biological_Process_2023,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667),0.058878630010240844,0.227880047718109,2,RAB3A;MAP1S
GO_Biological_Process_2023,DNA Deamination (GO:0045006),0.059527849199832554,0.227880047718109,1,EXOSC4
GO_Biological_Process_2023,DNA Strand Elongation (GO:0022616),0.059527849199832554,0.227880047718109,1,POLD2
GO_Biological_Process_2023,DNA Strand Elongation Involved In DNA Replication (GO:0006271),0.059527849199832554,0.227880047718109,1,POLD2
GO_Biological_Process_2023,Folic Acid Metabolic Process (GO:0046655),0.059527849199832554,0.227880047718109,1,SLC19A1
GO_Biological_Process_2023,Negative Regulation Of Locomotion (GO:0040013),0.059527849199832554,0.227880047718109,1,PIN1
GO_Biological_Process_2023,Positive Regulation Of Regulated Secretory Pathway (GO:1903307),0.059527849199832554,0.227880047718109,1,RAB3A
GO_Biological_Process_2023,Neutrophil Mediated Immunity (GO:0002446),0.059527849199832554,0.227880047718109,1,STXBP2
GO_Biological_Process_2023,Organophosphate Catabolic Process (GO:0046434),0.059527849199832554,0.227880047718109,1,PDXP
GO_Biological_Process_2023,Protein Heterotetramerization (GO:0051290),0.059527849199832554,0.227880047718109,1,FARSA
GO_Biological_Process_2023,Protein Insertion Into Mitochondrial Inner Membrane (GO:0045039),0.059527849199832554,0.227880047718109,1,NDUFA13
GO_Biological_Process_2023,Cellular Response To Acidic pH (GO:0071468),0.059527849199832554,0.227880047718109,1,RAB11B
GO_Biological_Process_2023,Microtubule Anchoring At Microtubule Organizing Center (GO:0072393),0.059527849199832554,0.227880047718109,1,MAP1S
GO_Biological_Process_2023,"Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122)",0.059527849199832554,0.227880047718109,1,UQCRC1
GO_Biological_Process_2023,Pseudouridine Synthesis (GO:0001522),0.059527849199832554,0.227880047718109,1,NHP2
GO_Biological_Process_2023,Mitochondrial Transcription (GO:0006390),0.059527849199832554,0.227880047718109,1,MRPL12
GO_Biological_Process_2023,Cristae Formation (GO:0042407),0.059527849199832554,0.227880047718109,1,SAMM50
GO_Biological_Process_2023,Response To Interleukin-6 (GO:0070741),0.059527849199832554,0.227880047718109,1,PHB1
GO_Biological_Process_2023,Defense Response To Tumor Cell (GO:0002357),0.059527849199832554,0.227880047718109,1,PRDX2
GO_Biological_Process_2023,Proteolysis Involved In Protein Catabolic Process (GO:0051603),0.060232567118591235,0.22938309239463503,2,STUB1;UBA52
GO_Biological_Process_2023,Positive Regulation Of Hydrolase Activity (GO:0051345),0.06119574802391923,0.2317668526221301,3,NDUFA13;RACK1;PIN1
GO_Biological_Process_2023,Organelle Organization (GO:0006996),0.06282423669458134,0.2317668526221301,5,PHB1;STOML2;CHCHD2;VPS51;MLST8
GO_Biological_Process_2023,Regulation Of Cytokinesis (GO:0032465),0.06297239704646328,0.2317668526221301,2,PDXP;PIN1
