gene,rho_pb,p_pb,pct_rank_pb,rho_pb_sample_centered,p_pb_sample_centered,detect_frac_epi,bulk_rho_TCGA,on_19p13_3
ABRAXAS2,0.42932726321941617,0.0007711126300339863,0.7505657708628005,0.43449506290565687,0.0006545057072137837,0.21529244217454263,-0.2296426594007765,False
PEG10,0.42919731912568937,0.0007742724454288365,0.7504950495049505,0.42945917859633925,0.0007679167944596969,0.1330845160339793,-0.0010787863476506,False
VWA3B,0.4291500704231514,0.000775424274601779,0.7504243281471005,0.3840803053873705,0.002915872050630151,0.018317536708736485,0.0675022991206084,False
SPDEF,0.4291437970291312,0.0007755773237334178,0.7503536067892503,0.11807959311909515,0.37735224734777273,0.21097087855425017,-0.0147254690619234,False
C1RL,0.4291426989449076,0.000775604115998017,0.7502828854314003,0.2608816020179027,0.04793285615054552,0.20792614054904413,-0.1074746506458197,False
MRPL38,0.4290460524316962,0.0007779654799283217,0.7502121640735502,0.40832397685436317,0.0014629080793591483,0.06796640966458863,0.363579332351903,False
POLR1C,0.4290196560952352,0.0007786115490852305,0.7501060820367751,0.5076440370358978,4.7542882789518074e-05,0.18312625840986582,0.2448637232413646,False
PICK1,0.4290196560952352,0.0007786115490852305,0.7501060820367751,0.4511058476114307,0.0003795574609435274,0.18955949516280118,0.3159748448462511,False
SCGB3A1,0.42893397116598164,0.0007807120887145349,0.75,0.046233350764403706,0.7303783806682501,0.2617001424151766,0.0394146598304966,False
LRATD2,0.4288966132455628,0.0007816295071877016,0.7498939179632249,0.40668737887969486,0.0015351341745865796,0.18661297451260178,-0.0375299121789052,False
TRAPPC10,0.4288966132455628,0.0007816295071877016,0.7498939179632249,0.4889415238856932,9.842689884699785e-05,0.34066689584047594,-0.0159305742311965,False
TAFA5,0.42880849786875064,0.0007837972603027146,0.7497878359264498,0.19255342637274808,0.1475859790096394,0.05676963119383325,-0.1182488197454025,False
TEX26,0.42879911757048345,0.000784028347232554,0.7497171145685997,0.3166147568977677,0.015459644078432349,0.011393213180769017,,
AAMP,0.42877357039589037,0.0007846580227368214,0.7496463932107497,0.4097019286966686,0.0014044748286785413,0.4309286450915333,0.2159407269589156,False
RAB3GAP2,0.4287120489710542,0.0007861762497117134,0.7495756718528995,0.4338798486572949,0.0006674968112968179,0.34032313509795287,-0.2879665384983172,False
MTARC1,0.4285276060381957,0.0007907438435162207,0.7495049504950495,0.3569890490184197,0.005944235209622668,0.07931051416785312,0.0899789035762392,False
FAIM2,0.42840797274730047,0.0007937192685236286,0.7494342291371995,0.18697057664141783,0.15991543758389457,0.014339733830967899,0.0188399209976117,False
CSNK1G1,0.428342920422037,0.0007953414372575898,0.7493635077793493,0.5251776431142146,2.3097975937144567e-05,0.2680351618131017,-0.1889934987126105,False
COX6A1,0.4282813989972008,0.0007968783109794828,0.7492574257425743,0.43104986311482973,0.0007303108860561621,0.8437852968617395,0.2352200485678161,False
PIN1,0.4282813989972008,0.0007968783109794828,0.7492574257425743,0.49755452336276107,7.077062154009591e-05,0.4923144919706528,0.4764328036993707,False
ZNF559,0.42825722508410763,0.000797482935513416,0.7491513437057992,0.33224645482789383,0.01083218409548229,0.08554731621077342,0.0367332772178692,False
TANGO2,0.42819570271302815,0.0007990235674441337,0.749080622347949,0.39462917961179983,0.0021735012838901544,0.09566370377645518,0.0160113238330561,False
HMGN3,0.4281583561475284,0.000799960103186943,0.749009900990099,0.4956473591928389,7.619133159473048e-05,0.674753228895396,0.1777659985148684,False
